Entry	Organism	Gene Names	Protein names	EC number
O60200	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MDM35 YKL053C-A	Mitochondrial distribution and morphology protein 35	
O74700	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TIM9 YEL020W-A YEL020BW	Mitochondrial import inner membrane translocase subunit TIM9	
O94742	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SEM1 DSH1 YDR363W-A	26S proteasome complex subunit SEM1	
P00044	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CYC1 YJR048W J1653	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	
P00045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CYC7 CYP3 YEL039C	Cytochrome c isoform 2 (Iso-2-cytochrome c) (Cytochrome c hypoxic isoform)	
P00127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	QCR6 UCR6 YFR033C	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	
P00128	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	QCR7 CRO1 UCR7 YDR529C D9719.32	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	
P00163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COB CYTB Q0105	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	7.1.1.8
P00175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CYB2 YML054C YM9958.08C	L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR)	1.1.2.3
P00330	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADH1 ADC1 YOL086C O0947	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase I) (YADH-1)	1.1.1.1
P00331	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADH2 ADR2 YMR303C YM9952.05C	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (YADH-2)	1.1.1.1
P00358	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TDH2 GPD2 YJR009C J1433	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12)	1.2.1.12
P00359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TDH3 GPD3 YGR192C G7576	Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12)	1.2.1.12
P00360	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TDH1 GPD1 SSS2 YJL052W J1154	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12)	1.2.1.12
P00401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX1 OXI3 Q0045	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	7.1.1.9
P00410	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX2 OXI1 Q0250	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	7.1.1.9
P00420	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX3 OXI2 Q0275	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	7.1.1.9
P00424	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX5A YNL052W N2474 YNL2474W	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	
P00431	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CCP1 CCP CPO YKR066C	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	1.11.1.5
P00445	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SOD1 YJR104C J1968	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	1.15.1.1
P00546	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	2.7.11.22
P00549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC19 PYK1 YAL038W	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	2.7.1.40
P00560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PGK1 YCR012W YCR12W	Phosphoglycerate kinase (EC 2.7.2.3)	2.7.2.3
P00572	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC8 YJR057W J1715	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	2.7.4.9
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PHO5 YBR093C YBR0814	Repressible acid phosphatase (EC 3.1.3.2) (P60)	3.1.3.2
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SUC2 YIL162W	Invertase 2 (EC 3.2.1.26) (Beta-fructofuranosidase 2) (Saccharase)	3.2.1.26
P00729	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PRC1 YMR297W	Carboxypeptidase Y (CPD-Y) (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)	3.4.16.5
P00812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CAR1 YPL111W LPH15W	Arginase (EC 3.5.3.1)	3.5.3.1
P00815	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HIS4 YCL030C YCL183 YCL30C	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	1.1.1.23; 3.5.4.19; 3.6.1.31
P00817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	IPP1 PPA PPA1 YBR011C YBR0202	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	3.6.1.1
P00830	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATP2 YJR121W J2041	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)	7.1.2.2
P00854	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATP6 OLI2 OLI4 PHO1 Q0085	ATP synthase subunit a (F-ATPase protein 6)	
P00890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CIT1 GLU3 LYS6 YNR001C N2019	Citrate synthase, mitochondrial (EC 2.3.3.1)	2.3.3.1
P00924	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ENO1 ENOA HSP48 YGR254W G9160	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1)	4.2.1.11
P00925	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ENO2 ENOB YHR174W	Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2)	4.2.1.11
P00927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ILV1 YER086W	Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)	4.3.1.19
P00937	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TRP3 YKL211C	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (EC 4.1.1.48) (PRAI)]	4.1.1.48; 4.1.3.27
P00942	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TPI1 YDR050C YD9609.05C	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	5.3.1.1
P00950	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GPM1 GPM YKL152C YKL607	Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1)	5.4.2.11
P00958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MES1 YGR264C	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	6.1.1.10
P01094	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PAI3 YMR174C YM8010.04C	Protease A inhibitor 3 (Proteinase inhibitor I(A)3) (Proteinase yscA-inhibitor) (Saccharopepsin inhibitor)	
P01097	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	INH1 YDL181W D1305	F(1)-ATPase inhibitor IF(1), mitochondrial (ATPase inhibitory factor 1) (IF(1)) (IF1)	
P01119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAS1 YOR101W YOR3205W	Ras-like protein 1 (EC 3.6.5.2)	3.6.5.2
P01120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	Ras-like protein 2 (EC 3.6.5.2)	3.6.5.2
P01123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	YPT1 YP2 YFL038C	GTP-binding protein YPT1 (Protein YP2) (Rab GTPase YPT1) (Transport GTPase YPT1)	
P02293	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HTB1 H2B1 SPT12 YDR224C YD9934.09C	Histone H2B.1 (Suppressor of Ty protein 12)	
P02294	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HTB2 H2B2 YBL002W YBL0104	Histone H2B.2	
P02309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	Histone H4	
P02400	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPP2B L12EIA RPL45 RPLA4 YDR382W	Large ribosomal subunit protein P2B (P2B) (60S acidic ribosomal protein P2-beta) (L12eIA) (L45) (YL44C) (YP2beta) (YPA1)	
P02406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL28 CYH2 YGL103W	Large ribosomal subunit protein uL15 (60S ribosomal protein L28) (L27a) (L29) (RP44) (RP62) (YL24)	
P02557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TUB2 YFL037W	Tubulin beta chain (Beta-tubulin)	
P02829	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HSP82 HSP90 YPL240C	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	
P02992	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TUF1 TUFM YOR187W	Elongation factor Tu, mitochondrial (tufM)	
P02994	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	
P03069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GCN4 AAS101 AAS3 ARG9 YEL009C	General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)	
P03870	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FLP1 R0010W	Site-specific recombinase Flp (FLP) (Protein Able)	
P03871	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	REP1 R0020C	Partitioning protein REP1 (R1) (Protein Baker) (Trans-acting factor B)	
P03873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BI2 Q0110	Cytochrome b mRNA maturase bI2	
P03877	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AI3 ENS3 I-SCEIII Q0060	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	3.1.-.-
P03878	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AI4 ENS2 I-SCEII Q0065	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]	3.1.-.-
P03879	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BI4 SCBI4 Q0120	Intron-encoded RNA maturase bI4 (RNA maturase SCbI4) [Cleaved into: Truncated, nonfunctional cytochrome b; RNA maturase bI4 (EC 3.1.-.-)]	3.1.-.-
P03962	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	URA3 YEL021W	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)	4.1.1.23
P03965	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CPA2 YJR109C J2002	Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, ammonia chain)	6.3.5.5
P04037	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX4 YGL187C G1362	Cytochrome c oxidase subunit 4, mitochondrial (Cytochrome c oxidase polypeptide IV)	
P04039	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX8 YLR395C L8084.14	Cytochrome c oxidase subunit 8, mitochondrial (Cytochrome c oxidase polypeptide VIII)	
P04050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPO21 RPB1 RPB220 SUA8 YDL140C D2150	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit 1) (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit B220)	2.7.7.6
P04051	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPO31 RPC1 RPC160 YOR116C O3254 YOR3254C	DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase III subunit C160)	2.7.7.6
P04147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PAB1 YER165W	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)	
P04385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GAL1 YBR020W YBR0302	Galactokinase (EC 2.7.1.6) (Galactose kinase)	2.7.1.6
P04386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GAL4 YPL248C	Regulatory protein GAL4	
P04387	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GAL80 YML051W YM9827.01 YM9958.12	Galactose/lactose metabolism regulatory protein GAL80	
P04397	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GAL10 YBR019C YBR0301	Bifunctional protein GAL10 [Includes: UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase); Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)]	5.1.3.2; 5.1.3.3
P04456	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL25 YOL127W	Large ribosomal subunit protein uL23 (60S ribosomal protein L25) (RP16L) (YL25) (YP42')	
P04710	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	AAC1 YMR056C YM9796.09C	ADP,ATP carrier protein 1 (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1)	
P04786	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TOP1 MAK1 YOL006C	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Maintenance of killer protein 1)	5.6.2.1
P04802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DPS1 APS APS1 YLL018C L1295	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	6.1.1.12
P04806	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HXK1 HKA YFR053C	Hexokinase-1 (EC 2.7.1.1) (Hexokinase PI) (Hexokinase-A)	2.7.1.1
P04807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HXK2 HEX1 HKB YGL253W NRB486	Hexokinase-2 (EC 2.7.1.1) (Hexokinase PII) (Hexokinase-B)	2.7.1.1
P04817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CAN1 YEL063C	Arginine permease CAN1 (Canavanine resistance protein 1)	
P04819	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC9 YDL164C	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	6.5.1.1
P04821	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC25 CTN1 YLR310C L2142.6	Cell division control protein 25	
P04840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	Mitochondrial outer membrane protein porin 1 (Voltage-dependent anion-selective channel protein 1) (VDAC-1)	
P04911	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HTA1 H2A1 SPT11 YDR225W YD9934.10	Histone H2A.1	
P04912	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HTA2 H2A2 YBL003C YBL0103	Histone H2A.2	
P05030	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PMA1 YGL008C	Plasma membrane ATPase 1 (EC 7.1.2.1) (Proton pump 1)	7.1.2.1
P05066	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PHR1 YOR386W	Deoxyribodipyrimidine photo-lyase, mitochondrial (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	4.1.99.3
P05150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARG3 YJL088W J0924	Ornithine carbamoyltransferase (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)	2.1.3.3
P05317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPP0 L10E RPA0 RPL10E RPLA0 YLR340W L8300.8	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (A0) (L10e)	
P05318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPP1A L12EIIA RPA1 RPLA1 YDL081C	Large ribosomal subunit protein P1A (P1A) (60S acidic ribosomal protein P1-alpha) (A1) (L12eIIA) (YP1alpha)	
P05319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPP2A L12EIB RPA2 RPL44 RPLA2 YOL039W	Large ribosomal subunit protein P2A (P2A) (60S acidic ribosomal protein P2-alpha) (A2) (L12eIB) (L44) (YP2alpha)	
P05373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HEM2 YGL040C	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	4.2.1.24
P05374	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CHO2 PEM1 YGR157W G6673	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17) (Choline-requiring protein 2)	2.1.1.17
P05375	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	OPI3 PEM2 YJR073C J1824	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.17) (EC 2.1.1.71) (Overproducer of inositol protein 3) (Phospholipid methyltransferase) (PLMT)	2.1.1.17; 2.1.1.71
P05453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	Eukaryotic peptide chain release factor GTP-binding subunit (EC 3.6.5.-) (ERF-3) (ERF3) (ERF2) (G1 to S phase transition protein 1) (Omnipotent suppressor protein 2) (PSI no more protein 2) (Polypeptide release factor 3) (Translation release factor 3)	3.6.5.-
P05626	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATP4 YPL078C LPF7C	ATP synthase subunit 4, mitochondrial	
P05737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL7A RPL6A RPL8A YL8A YGL076C	Large ribosomal subunit protein uL30A (60S ribosomal protein L7-A) (L6) (RP11) (YL8)	
P05739	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL6B RPL16B RPL17B YL16B YLR448W L9324.4	Large ribosomal subunit protein eL6B (60S ribosomal protein L6-B) (L17) (RP18) (YL16)	
P05740	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL17A RPL17 RPL20A YKL180W	Large ribosomal subunit protein uL22A (60S ribosomal protein L17-A) (L20A) (YL17)	
P05744	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL33A RPL37A YPL143W LPI4W P2625	Large ribosomal subunit protein eL33A (60S ribosomal protein L33-A) (L37) (RP47) (YL37)	
P05745	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL36A RPL39A YMR194W YM9646.06	Large ribosomal subunit protein eL36A (60S ribosomal protein L36-A) (L39) (YL39)	
P05748	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPL15A RPL10A RPL13A YL10A YLR029C	Large ribosomal subunit protein eL15A (60S ribosomal protein L15-A) (L13) (RP15R) (YL10) (YP18)	
P05750	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS3 SUF14 YNL178W N1653	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (RP13) (YS3)	
P05755	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS9B RPS13B SUP46 YBR189W YBR1317	Small ribosomal subunit protein uS4B (40S ribosomal protein S9-B) (RP21) (S13) (YP28) (YS11)	
P05756	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS13 RPS13C YDR064W D4252 YD9609.18	Small ribosomal subunit protein uS15 (40S ribosomal protein S13) (S27a) (YS15)	
P05759	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS31 RPS37 UBI3 YLR167W L9470.14	Ubiquitin-ribosomal protein eS31 fusion protein [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S31) (CEP76) (S37) (YS24)]	
